idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
45,1979-03-20,Mato Grosso do Sul,9759,Pós-Graduação,1,Casado(a),Educação
25,1998-12-12,Bahia,25749,Doutorado,3,Casado(a),Administração
28,1996-03-17,Goiás,1609,Ensino Fundamental,1,Casado(a),Tecnologia
59,1965-05-09,Paraná,12974,Ensino Fundamental,4,Casado(a),Saúde
34,1989-12-09,Distrito Federal,29524,Ensino Fundamental,1,Viúvo(a),Marketing
23,2001-05-16,Rio Grande do Sul,9973,Pós-Graduação,4,Viúvo(a),Marketing
27,1996-09-21,Tocantins,13633,Ensino Fundamental,3,Casado(a),Marketing
43,1980-09-04,Espírito Santo,18548,Pós-Graduação,2,Divorciado(a),Educação
41,1983-02-28,Bahia,15121,Doutorado,2,Viúvo(a),Educação
47,1977-03-26,Tocantins,26556,Ensino Superior,0,Solteiro(a),Marketing
59,1965-04-05,Rio Grande do Norte,19085,Ensino Médio,2,Viúvo(a),Administração
47,1977-02-22,Rio Grande do Norte,8381,Pós-Graduação,4,Viúvo(a),Marketing
58,1965-10-12,Acre,20954,Doutorado,1,Viúvo(a),Saúde
32,1992-01-18,Mato Grosso do Sul,24688,Pós-Graduação,2,Solteiro(a),Saúde
56,1968-02-28,Piauí,20773,Mestrado,1,Divorciado(a),Administração
50,1974-05-06,Sergipe,14821,Ensino Médio,2,Solteiro(a),Marketing
57,1967-02-13,Acre,10401,Mestrado,3,Viúvo(a),Tecnologia
42,1982-04-24,Rio Grande do Sul,4965,Pós-Graduação,1,Casado(a),Administração
36,1988-01-04,Maranhão,15717,Ensino Superior,1,Divorciado(a),Educação
23,2000-12-13,Minas Gerais,18396,Ensino Fundamental,2,Solteiro(a),Engenharia
50,1974-05-19,Maranhão,10792,Mestrado,4,Casado(a),Tecnologia
35,1988-12-14,Maranhão,6612,Mestrado,0,Divorciado(a),Educação
19,2005-05-21,Goiás,28916,Ensino Médio,4,Casado(a),Administração
25,1998-09-20,Ceará,13443,Pós-Graduação,2,Divorciado(a),Administração
33,1991-04-10,Distrito Federal,22981,Doutorado,2,Solteiro(a),Educação
30,1994-08-20,Roraima,9861,Ensino Médio,2,Viúvo(a),Marketing
24,2000-06-12,Distrito Federal,11727,Ensino Fundamental,4,Viúvo(a),Tecnologia
49,1975-06-24,Santa Catarina,16578,Ensino Médio,0,Casado(a),Tecnologia
28,1995-11-06,São Paulo,4777,Ensino Superior,3,Viúvo(a),Saúde
53,1971-02-03,Espírito Santo,12664,Ensino Superior,3,Viúvo(a),Tecnologia
33,1990-10-19,Santa Catarina,9927,Ensino Superior,2,Casado(a),Educação
18,2006-07-23,Paraná,18299,Ensino Fundamental,2,Casado(a),Educação
51,1972-12-14,Rio Grande do Sul,9516,Ensino Médio,1,Viúvo(a),Educação
34,1989-11-26,Rio de Janeiro,11386,Doutorado,0,Solteiro(a),Administração
47,1976-08-24,Distrito Federal,17273,Doutorado,1,Solteiro(a),Saúde
24,2000-05-12,Mato Grosso,24743,Doutorado,1,Divorciado(a),Marketing
59,1964-08-31,São Paulo,24588,Mestrado,4,Solteiro(a),Tecnologia
21,2003-07-11,Piauí,16732,Pós-Graduação,1,Viúvo(a),Engenharia
28,1996-06-03,Amazonas,10168,Ensino Médio,0,Casado(a),Educação
33,1990-08-25,Goiás,13842,Pós-Graduação,3,Solteiro(a),Administração
49,1975-02-26,Distrito Federal,15868,Pós-Graduação,2,Casado(a),Marketing
55,1969-07-18,Mato Grosso do Sul,18756,Ensino Fundamental,4,Divorciado(a),Marketing
41,1983-02-14,Paraíba,23994,Ensino Médio,3,Viúvo(a),Marketing
32,1992-08-06,Minas Gerais,29441,Doutorado,1,Viúvo(a),Tecnologia
26,1998-04-12,Rio Grande do Sul,15736,Doutorado,0,Solteiro(a),Administração
45,1978-08-29,Alagoas,19112,Doutorado,0,Viúvo(a),Marketing
28,1995-12-24,Minas Gerais,2469,Ensino Superior,0,Solteiro(a),Engenharia
56,1967-08-23,Espírito Santo,29513,Ensino Superior,4,Solteiro(a),Saúde
50,1973-11-27,Rio Grande do Norte,14948,Doutorado,4,Viúvo(a),Educação
31,1993-05-17,Rio Grande do Sul,24714,Ensino Médio,3,Divorciado(a),Administração
20,2003-12-15,Distrito Federal,12932,Doutorado,2,Viúvo(a),Engenharia
23,2001-04-26,Espírito Santo,6566,Ensino Médio,1,Viúvo(a),Tecnologia
25,1999-02-22,Mato Grosso do Sul,22382,Ensino Fundamental,1,Solteiro(a),Tecnologia
57,1967-02-05,Rio de Janeiro,22181,Mestrado,3,Solteiro(a),Educação
26,1997-11-10,Rondônia,12048,Ensino Fundamental,2,Divorciado(a),Saúde
28,1995-09-16,Rio Grande do Norte,26376,Ensino Superior,2,Viúvo(a),Administração
25,1998-12-02,Espírito Santo,2829,Ensino Médio,0,Casado(a),Marketing
30,1994-08-14,Rio Grande do Norte,12975,Mestrado,1,Casado(a),Engenharia
60,1964-02-03,São Paulo,18414,Ensino Fundamental,1,Divorciado(a),Engenharia
29,1994-09-09,Piauí,28561,Ensino Superior,2,Solteiro(a),Tecnologia
35,1989-05-04,Rio Grande do Norte,24166,Ensino Fundamental,4,Solteiro(a),Educação
54,1970-05-22,Maranhão,15295,Mestrado,2,Divorciado(a),Engenharia
22,2002-02-20,Espírito Santo,27015,Ensino Superior,1,Divorciado(a),Administração
22,2002-07-31,Acre,23456,Pós-Graduação,4,Casado(a),Educação
56,1968-02-26,Espírito Santo,8576,Mestrado,3,Viúvo(a),Engenharia
53,1970-09-27,Paraíba,11659,Pós-Graduação,1,Solteiro(a),Saúde
41,1983-05-21,Ceará,28906,Pós-Graduação,2,Divorciado(a),Tecnologia
23,2001-02-05,Amapá,8847,Ensino Superior,1,Viúvo(a),Engenharia
52,1971-09-22,Distrito Federal,11625,Doutorado,4,Viúvo(a),Administração
29,1995-06-22,Mato Grosso,22994,Pós-Graduação,2,Casado(a),Engenharia
29,1994-11-27,Goiás,20583,Ensino Médio,2,Solteiro(a),Engenharia
18,2006-07-10,Rio de Janeiro,8196,Ensino Superior,4,Viúvo(a),Engenharia
39,1985-08-21,Piauí,9338,Doutorado,3,Solteiro(a),Educação
60,1964-08-13,Pernambuco,6672,Ensino Superior,4,Casado(a),Educação
40,1984-01-14,Pernambuco,24324,Doutorado,2,Viúvo(a),Tecnologia
43,1981-03-25,Rio Grande do Norte,16983,Mestrado,3,Solteiro(a),Engenharia
48,1976-05-29,Acre,6858,Ensino Superior,0,Casado(a),Administração
35,1989-05-13,Espírito Santo,24565,Mestrado,3,Divorciado(a),Marketing
26,1998-05-16,Tocantins,4909,Ensino Superior,2,Divorciado(a),Saúde
36,1988-02-17,Espírito Santo,17456,Ensino Fundamental,0,Solteiro(a),Educação
33,1990-09-16,Goiás,19347,Pós-Graduação,3,Casado(a),Saúde
39,1985-06-18,Amazonas,28350,Doutorado,0,Casado(a),Saúde
27,1996-12-15,Mato Grosso,2761,Ensino Superior,2,Solteiro(a),Engenharia
20,2004-07-14,Mato Grosso,28887,Ensino Médio,3,Solteiro(a),Administração
25,1999-01-03,São Paulo,10529,Ensino Fundamental,2,Casado(a),Tecnologia
22,2002-02-03,Sergipe,12256,Ensino Superior,0,Solteiro(a),Educação
51,1973-06-14,Rio Grande do Sul,27087,Pós-Graduação,0,Casado(a),Educação
53,1971-01-10,Piauí,19733,Pós-Graduação,2,Casado(a),Tecnologia
20,2003-10-09,Paraná,5797,Ensino Fundamental,1,Solteiro(a),Marketing
29,1995-01-26,Pernambuco,10872,Ensino Médio,1,Casado(a),Saúde
48,1976-08-01,Mato Grosso do Sul,1931,Ensino Fundamental,2,Divorciado(a),Engenharia
44,1979-09-14,Ceará,11269,Ensino Superior,4,Casado(a),Educação
29,1995-04-26,Santa Catarina,8654,Ensino Médio,1,Casado(a),Administração
31,1993-05-16,Minas Gerais,14707,Ensino Superior,2,Viúvo(a),Saúde
54,1970-05-01,Goiás,24345,Ensino Fundamental,1,Solteiro(a),Tecnologia
18,2005-08-31,Distrito Federal,10323,Doutorado,3,Viúvo(a),Educação
22,2001-10-30,Sergipe,19942,Ensino Médio,0,Viúvo(a),Marketing
21,2003-04-05,Bahia,2998,Ensino Superior,1,Divorciado(a),Administração
43,1981-05-08,Amapá,24078,Ensino Superior,1,Casado(a),Engenharia
58,1966-04-24,Paraíba,12765,Ensino Superior,4,Casado(a),Tecnologia
46,1977-12-27,Rio Grande do Norte,2850,Ensino Superior,2,Solteiro(a),Educação
44,1980-01-03,Sergipe,15235,Ensino Superior,3,Solteiro(a),Saúde
36,1987-11-20,Pernambuco,27744,Pós-Graduação,3,Divorciado(a),Saúde
47,1977-07-13,Amazonas,2819,Doutorado,2,Viúvo(a),Administração
50,1974-06-25,Minas Gerais,20625,Pós-Graduação,4,Casado(a),Saúde
46,1978-06-02,Tocantins,27979,Pós-Graduação,3,Divorciado(a),Marketing
49,1975-05-07,Piauí,6301,Ensino Superior,1,Solteiro(a),Tecnologia
30,1993-11-06,Mato Grosso,15434,Doutorado,0,Viúvo(a),Administração
44,1980-01-22,Alagoas,11296,Doutorado,3,Viúvo(a),Marketing
24,2000-06-01,Amapá,4068,Mestrado,0,Viúvo(a),Saúde
32,1992-01-20,Rio Grande do Norte,21965,Ensino Médio,1,Divorciado(a),Tecnologia
38,1985-11-29,Goiás,10108,Ensino Superior,2,Viúvo(a),Tecnologia
51,1973-07-06,Espírito Santo,4553,Ensino Superior,1,Divorciado(a),Administração
56,1967-11-30,Tocantins,4853,Ensino Fundamental,2,Divorciado(a),Engenharia
47,1977-03-26,Paraíba,17629,Mestrado,4,Solteiro(a),Engenharia
18,2006-08-10,Rio Grande do Sul,8070,Pós-Graduação,4,Divorciado(a),Administração
49,1974-10-03,Roraima,17613,Ensino Médio,1,Casado(a),Administração
40,1983-12-23,Bahia,29796,Pós-Graduação,1,Viúvo(a),Educação
50,1974-06-05,São Paulo,18541,Ensino Médio,2,Casado(a),Marketing
20,2004-02-07,Tocantins,19559,Ensino Superior,3,Solteiro(a),Administração
29,1994-09-22,Minas Gerais,28175,Ensino Superior,1,Viúvo(a),Administração
58,1966-07-05,Rio Grande do Norte,28194,Ensino Fundamental,0,Solteiro(a),Saúde
35,1989-04-06,Piauí,15261,Pós-Graduação,3,Casado(a),Saúde
22,2002-07-27,Bahia,25193,Ensino Superior,4,Viúvo(a),Administração
39,1985-04-10,Bahia,21244,Mestrado,1,Divorciado(a),Administração
40,1984-07-05,Sergipe,13259,Ensino Médio,2,Casado(a),Educação
27,1997-08-20,Rondônia,4313,Ensino Médio,2,Viúvo(a),Educação
18,2005-11-22,Rio de Janeiro,11137,Ensino Médio,0,Casado(a),Administração
29,1994-10-19,Pará,24146,Doutorado,2,Divorciado(a),Tecnologia
18,2006-03-23,Bahia,6307,Ensino Médio,1,Divorciado(a),Tecnologia
57,1967-04-29,Acre,21283,Doutorado,3,Viúvo(a),Tecnologia
18,2005-08-28,Amapá,8692,Pós-Graduação,4,Casado(a),Engenharia
38,1986-08-13,Ceará,28974,Ensino Fundamental,2,Solteiro(a),Marketing
20,2004-05-12,Goiás,15993,Doutorado,4,Divorciado(a),Marketing
37,1987-01-26,Mato Grosso,27004,Pós-Graduação,2,Casado(a),Administração
50,1974-07-30,Rio Grande do Norte,27993,Pós-Graduação,0,Solteiro(a),Engenharia
23,2001-01-05,Rio Grande do Norte,24794,Doutorado,3,Casado(a),Saúde
46,1977-10-22,Acre,3419,Doutorado,4,Casado(a),Engenharia
27,1996-09-28,Rondônia,24131,Mestrado,3,Divorciado(a),Marketing
22,2001-12-16,Piauí,20374,Ensino Superior,2,Divorciado(a),Marketing
42,1982-06-15,Minas Gerais,3507,Ensino Médio,0,Viúvo(a),Saúde
37,1987-05-05,Maranhão,15646,Ensino Médio,1,Viúvo(a),Engenharia
59,1965-06-05,Piauí,8094,Doutorado,2,Solteiro(a),Marketing
38,1985-12-25,Ceará,29127,Doutorado,0,Solteiro(a),Engenharia
29,1994-09-15,Alagoas,27001,Mestrado,3,Solteiro(a),Administração
50,1974-08-06,Piauí,17517,Ensino Superior,3,Solteiro(a),Marketing
26,1998-03-16,São Paulo,2062,Ensino Médio,0,Solteiro(a),Tecnologia
50,1974-08-19,Maranhão,3293,Pós-Graduação,3,Solteiro(a),Engenharia
50,1974-07-10,Paraná,29732,Ensino Fundamental,1,Solteiro(a),Marketing
55,1969-05-21,Minas Gerais,29714,Ensino Fundamental,4,Solteiro(a),Tecnologia
42,1982-02-21,Distrito Federal,2940,Mestrado,0,Viúvo(a),Educação
60,1964-02-22,Ceará,28574,Ensino Fundamental,4,Casado(a),Saúde
22,2002-01-11,Distrito Federal,6204,Pós-Graduação,2,Divorciado(a),Administração
45,1979-05-30,Pernambuco,10944,Pós-Graduação,1,Solteiro(a),Marketing
25,1999-01-25,Goiás,7187,Ensino Fundamental,0,Divorciado(a),Tecnologia
49,1975-08-08,Paraná,2685,Ensino Médio,0,Solteiro(a),Tecnologia
48,1976-02-10,Mato Grosso,26211,Mestrado,2,Viúvo(a),Saúde
57,1967-03-26,Tocantins,27725,Mestrado,3,Viúvo(a),Saúde
57,1966-11-01,Rio Grande do Sul,17507,Pós-Graduação,1,Solteiro(a),Educação
48,1976-05-07,Acre,9480,Ensino Médio,2,Divorciado(a),Saúde
22,2002-03-18,Rio de Janeiro,25594,Ensino Fundamental,1,Solteiro(a),Marketing
23,2000-12-12,Amazonas,17647,Doutorado,1,Casado(a),Administração
35,1989-01-05,Mato Grosso,27292,Mestrado,0,Solteiro(a),Engenharia
19,2004-11-19,Piauí,10258,Doutorado,1,Viúvo(a),Administração
46,1978-02-21,Mato Grosso do Sul,16755,Ensino Médio,3,Divorciado(a),Administração
25,1998-10-17,Acre,5744,Doutorado,0,Casado(a),Engenharia
51,1972-12-18,Santa Catarina,28090,Ensino Médio,2,Solteiro(a),Engenharia
38,1986-02-05,Paraíba,3520,Pós-Graduação,0,Casado(a),Saúde
25,1999-03-12,Acre,17831,Pós-Graduação,3,Viúvo(a),Marketing
25,1999-02-11,Bahia,9926,Ensino Fundamental,0,Solteiro(a),Marketing
45,1979-06-07,Rondônia,18809,Pós-Graduação,1,Solteiro(a),Marketing
42,1982-03-06,Santa Catarina,23053,Pós-Graduação,2,Casado(a),Saúde
60,1963-11-15,Pará,25055,Doutorado,4,Divorciado(a),Saúde
19,2005-05-26,Sergipe,21738,Ensino Fundamental,3,Divorciado(a),Tecnologia
41,1983-05-20,Bahia,3559,Mestrado,0,Casado(a),Marketing
29,1995-06-25,Ceará,10742,Doutorado,3,Divorciado(a),Administração
46,1977-10-05,Tocantins,12378,Ensino Superior,1,Solteiro(a),Administração
46,1977-09-20,Ceará,22403,Doutorado,2,Viúvo(a),Marketing
44,1980-03-17,Santa Catarina,7916,Doutorado,4,Casado(a),Marketing
58,1966-03-04,Piauí,15356,Ensino Superior,3,Casado(a),Saúde
18,2006-03-17,Rio Grande do Sul,23114,Ensino Médio,0,Divorciado(a),Engenharia
49,1975-01-18,Rondônia,29123,Pós-Graduação,2,Viúvo(a),Marketing
60,1963-10-25,Rio Grande do Sul,23468,Doutorado,2,Casado(a),Engenharia
20,2004-03-17,Espírito Santo,16979,Ensino Superior,4,Solteiro(a),Educação
45,1978-11-30,Rondônia,2894,Ensino Médio,2,Divorciado(a),Engenharia
48,1976-05-24,Mato Grosso,17184,Ensino Médio,0,Casado(a),Administração
18,2005-09-30,Rio Grande do Sul,16940,Doutorado,4,Casado(a),Educação
22,2001-12-11,Ceará,22816,Doutorado,2,Viúvo(a),Engenharia
50,1974-06-12,Rio de Janeiro,1543,Mestrado,1,Solteiro(a),Educação
34,1990-07-01,Maranhão,2766,Pós-Graduação,4,Viúvo(a),Educação
45,1978-09-03,Rio de Janeiro,15749,Pós-Graduação,1,Casado(a),Educação
24,2000-07-31,Pará,14660,Ensino Superior,3,Divorciado(a),Engenharia
47,1977-05-22,Roraima,28005,Mestrado,4,Solteiro(a),Marketing
29,1994-11-07,Rio Grande do Norte,23298,Ensino Fundamental,3,Solteiro(a),Administração
50,1974-06-10,Pará,5936,Pós-Graduação,0,Divorciado(a),Marketing
31,1993-06-18,Amazonas,13257,Ensino Fundamental,2,Viúvo(a),Educação
29,1995-02-19,Goiás,11988,Mestrado,2,Viúvo(a),Educação
59,1965-05-14,Amazonas,8649,Pós-Graduação,0,Divorciado(a),Tecnologia
20,2004-03-20,Paraíba,12778,Ensino Fundamental,0,Solteiro(a),Tecnologia
37,1987-01-06,Rio Grande do Sul,5989,Pós-Graduação,0,Viúvo(a),Educação
45,1979-02-12,Rondônia,27207,Ensino Fundamental,3,Solteiro(a),Saúde
38,1985-12-06,Paraíba,24289,Ensino Superior,4,Viúvo(a),Engenharia
50,1973-12-18,Maranhão,28705,Mestrado,0,Solteiro(a),Administração
42,1982-08-05,Distrito Federal,5629,Ensino Superior,2,Casado(a),Tecnologia
25,1998-10-28,Mato Grosso,29198,Mestrado,4,Divorciado(a),Educação
55,1969-01-22,Paraná,28145,Ensino Superior,3,Divorciado(a),Tecnologia
43,1980-12-12,Alagoas,20804,Pós-Graduação,4,Casado(a),Educação
37,1987-03-26,Pernambuco,11520,Ensino Médio,2,Divorciado(a),Saúde
40,1984-01-02,Maranhão,8947,Mestrado,1,Viúvo(a),Engenharia
37,1986-12-17,Ceará,28399,Mestrado,2,Casado(a),Marketing
58,1966-07-14,Paraíba,25719,Doutorado,3,Casado(a),Educação
22,2001-11-24,Paraíba,4073,Mestrado,1,Divorciado(a),Administração
59,1964-11-09,Rio Grande do Norte,13878,Mestrado,1,Solteiro(a),Administração
55,1969-06-24,Maranhão,9101,Doutorado,3,Casado(a),Administração
20,2003-09-17,Rio de Janeiro,20499,Doutorado,2,Divorciado(a),Educação
21,2003-03-08,Mato Grosso do Sul,7261,Ensino Médio,3,Solteiro(a),Marketing
19,2005-07-28,Acre,12277,Pós-Graduação,3,Casado(a),Administração
58,1966-06-28,Rio de Janeiro,8811,Ensino Fundamental,0,Divorciado(a),Tecnologia
42,1981-12-28,São Paulo,8638,Ensino Médio,4,Casado(a),Marketing
18,2005-09-20,Minas Gerais,26583,Ensino Superior,3,Solteiro(a),Educação
36,1987-12-27,Rio Grande do Norte,16120,Mestrado,0,Viúvo(a),Saúde
20,2004-04-06,Distrito Federal,20480,Ensino Médio,3,Casado(a),Marketing
28,1995-11-21,Mato Grosso,14995,Doutorado,2,Solteiro(a),Marketing
23,2001-07-29,Rio Grande do Sul,10508,Ensino Fundamental,4,Casado(a),Marketing
48,1975-11-12,Piauí,8892,Ensino Superior,1,Viúvo(a),Educação
25,1998-12-28,Alagoas,26586,Pós-Graduação,1,Solteiro(a),Educação
50,1973-08-29,Piauí,29702,Mestrado,0,Solteiro(a),Marketing
36,1988-08-19,Acre,27101,Ensino Superior,3,Viúvo(a),Saúde
43,1981-04-18,Alagoas,21169,Ensino Superior,4,Divorciado(a),Marketing
29,1995-08-02,Ceará,6499,Doutorado,2,Divorciado(a),Administração
20,2004-02-09,Mato Grosso do Sul,15249,Ensino Fundamental,2,Viúvo(a),Saúde
39,1985-06-18,Distrito Federal,1630,Doutorado,4,Viúvo(a),Tecnologia
52,1972-05-30,Pernambuco,8212,Mestrado,0,Solteiro(a),Administração
21,2002-08-28,Roraima,8152,Mestrado,3,Solteiro(a),Tecnologia
60,1964-06-21,Roraima,5250,Ensino Fundamental,4,Viúvo(a),Marketing
26,1997-09-18,Rio Grande do Sul,13241,Ensino Superior,3,Casado(a),Tecnologia
36,1988-07-09,Roraima,9684,Ensino Fundamental,0,Viúvo(a),Tecnologia
20,2004-05-28,São Paulo,5327,Doutorado,1,Divorciado(a),Tecnologia
27,1996-11-05,Minas Gerais,9869,Mestrado,4,Solteiro(a),Educação
60,1964-08-21,Sergipe,16227,Doutorado,0,Casado(a),Administração
27,1997-06-01,Acre,1762,Pós-Graduação,3,Casado(a),Marketing
60,1963-10-31,Ceará,20145,Mestrado,0,Solteiro(a),Marketing
34,1989-09-29,Ceará,14313,Ensino Superior,3,Viúvo(a),Tecnologia
36,1988-01-17,Mato Grosso,14049,Pós-Graduação,4,Solteiro(a),Engenharia
48,1976-01-22,Amazonas,5510,Ensino Superior,2,Solteiro(a),Engenharia
19,2004-09-15,Piauí,29517,Pós-Graduação,2,Divorciado(a),Educação
59,1965-02-18,Paraná,24627,Ensino Fundamental,4,Solteiro(a),Educação
28,1996-08-13,Maranhão,6479,Doutorado,3,Viúvo(a),Administração
44,1980-01-31,Pará,15772,Ensino Fundamental,1,Solteiro(a),Administração
18,2005-09-08,Espírito Santo,27702,Doutorado,2,Solteiro(a),Educação
42,1982-06-18,Rio Grande do Sul,27254,Ensino Fundamental,2,Viúvo(a),Engenharia
20,2004-04-16,Espírito Santo,28192,Doutorado,0,Casado(a),Engenharia
27,1997-05-11,Rondônia,5198,Ensino Fundamental,1,Divorciado(a),Engenharia
60,1964-02-09,Santa Catarina,2861,Ensino Superior,2,Casado(a),Saúde
39,1985-03-10,Rio Grande do Sul,11777,Ensino Superior,3,Viúvo(a),Engenharia
60,1963-12-26,Rio Grande do Norte,21407,Ensino Médio,4,Solteiro(a),Engenharia
48,1976-05-08,Amapá,5905,Ensino Fundamental,3,Casado(a),Tecnologia
37,1986-11-11,Paraíba,9572,Ensino Médio,4,Casado(a),Tecnologia
24,2000-07-21,Paraná,9427,Mestrado,4,Solteiro(a),Administração
38,1985-09-28,Ceará,6107,Mestrado,1,Solteiro(a),Marketing
31,1993-05-14,Mato Grosso do Sul,19624,Ensino Superior,0,Solteiro(a),Administração
26,1998-07-24,Santa Catarina,12527,Ensino Fundamental,3,Casado(a),Engenharia
48,1975-11-21,Mato Grosso,12407,Pós-Graduação,3,Viúvo(a),Tecnologia
25,1998-10-15,Goiás,14129,Mestrado,2,Casado(a),Saúde
48,1975-12-26,Goiás,18412,Pós-Graduação,4,Divorciado(a),Marketing
47,1976-12-11,São Paulo,25589,Doutorado,4,Solteiro(a),Tecnologia
43,1980-11-15,Acre,19610,Ensino Superior,0,Viúvo(a),Saúde
41,1983-07-04,Bahia,6036,Mestrado,3,Solteiro(a),Engenharia
41,1983-01-15,Bahia,10723,Ensino Médio,0,Casado(a),Tecnologia
